,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
662,University of Puerto Rico-Carolina,Carolina,PR,1,3532,0.6201705971,0.3798294029,0.082,20.0,0.3168,0.4639,,4791.5,0.0747616658,20302.0,13283.0,6256.0,899
663,Gordon State College,Barnesville,GA,1,3527,0.6329896907,0.3670103093,0.145,21.0,0.8364,0.1491,31200.0,17761.0,0.7554639175,29199.0,14923.0,5376.0,2007
664,Northwestern Michigan College,Traverse City,MI,1,3515,0.52893045,0.47106954999999995,0.2883,23.0,,0.1991,30000.0,14000.0,0.6545879603,30828.0,14758.0,7367.0,7838
665,Molloy College,Rockville Centre,NY,2,3505,0.7482561826,0.25174381739999996,0.2145,22.0,0.7603,0.7197,60500.0,27000.0,0.9220038047,60092.0,42903.0,10842.0,23215
666,Brandman University,Irvine,CA,2,3502,0.7008343266,0.2991656734,0.8482,32.0,0.68,,,23000.0,0.8188319428,30485.0,29020.0,8894.0,14705
667,Emporia State University,Emporia,KS,1,3499,0.6277056277,0.37229437229999995,0.1184,21.0,0.8275,0.4452,37100.0,18568.0,0.8583797155,51017.0,18154.0,6849.0,7149
668,University of North Carolina at Asheville,Asheville,NC,1,3496,0.6122059758,0.3877940242,0.1879,22.0,0.8039,0.6164,34500.0,20116.0,0.8302606484,44221.0,19050.0,8495.0,7062
669,Fairmont State University,Fairmont,WV,1,3488,0.5655696203,0.4344303797,0.2152,22.0,0.7061,0.366,33000.0,21235.0,0.8293670886,41285.0,17657.0,6312.0,4053
670,Montana State University Billings,Billings,MT,1,3478,0.6325995807,0.3674004193,0.3989,25.0,,0.2717,34600.0,17955.0,0.821278826,34882.0,16736.0,6637.0,5649
671,Snow College,Ephraim,UT,1,3471,0.532627866,0.467372134,0.0658,21.0,,0.4828,31700.0,6000.0,0.5264550265,41939.0,14088.0,5413.0,2403
672,Ohio Christian University,Circleville,OH,2,3471,0.6382978723,0.3617021277,0.6531,34.0,,0.2867,31800.0,28000.0,0.8835866261,19859.0,33266.0,1334.0,9162
673,University of Puerto Rico-Cayey,Cayey,PR,1,3469,0.664516129,0.335483871,0.0546,19.0,0.7649,0.451,,4500.0,0.0222222222,17544.0,11742.0,6527.0,557
674,Barry University,Miami,FL,2,3459,0.6736222579,0.32637774210000003,0.4317,26.0,0.8507,0.3489,45800.0,28000.0,0.8742643125,28822.0,43787.0,7911.0,15322
675,Universidad Politecnica de Puerto Rico,Hato Rey,PR,2,3459,0.2235217674,0.7764782326,0.2948,23.0,,0.249,29800.0,20832.0,0.6257309942,18451.0,20061.0,3529.0,7753
676,Pennsylvania State University-Penn State Altoona,Altoona,PA,1,3451,0.5012260053,0.49877399469999995,0.0497,21.0,0.9225,0.6436,50100.0,26120.0,0.9024450049,61924.0,30175.0,7742.0,6443
677,Bryant University,Smithfield,RI,2,3449,0.3977947413,0.6022052587,0.0167,19.0,0.7298,0.7906,69300.0,27000.0,0.967769296,110617.0,58131.0,10750.0,23645
678,Colorado Mountain College,Glenwood Springs,CO,1,3448,0.5096296296,0.4903703704,0.3707,24.0,,0.2335,32700.0,8500.0,0.6496296296,30750.0,12579.0,8432.0,2604
679,SUNY College of Technology at Delhi,Delhi,NY,1,3435,0.5075829384,0.4924170616,0.2502,21.0,0.6241,0.4417,37200.0,15250.0,0.8654028436,35710.0,23135.0,5779.0,4402
680,Franklin University,Columbus,OH,2,3433,0.6106304079,0.3893695921,0.8099,31.0,,0.0566,48500.0,23668.0,0.9035846724,29655.0,30059.0,8797.0,14766
681,Eastern New Mexico University-Main Campus,Portales,NM,1,3431,0.5820595334,0.41794046659999995,0.2854,24.0,0.6045,0.3343,29500.0,14611.0,0.4883346742,28573.0,16475.0,6774.0,4186
682,Lock Haven University,Lock Haven,PA,1,3425,0.5770363101,0.4229636899,0.0927,20.0,0.8904,0.5472,41500.0,27000.0,0.9646712463,58391.0,23299.0,10110.0,7972
683,Merrimack College,North Andover,MA,2,3404,0.5302297461,0.46977025390000005,0.0419,20.0,0.8154,0.6847,57100.0,27000.0,0.9733978235,102956.0,53429.0,8570.0,18961
